game_date,team,player,player_id,position,status,severity,injury_type,detail,return_date,is_out,source,scraped_at
2026-08-02,Los Angeles Sparks,Tonie Morgan,,,Out,OUT,Coach's Decision - Coach’s decision,Coach's Decision - Coach’s decision; matchup=(ET) LAS@PDX; game_time=03:30,,True,official_wnba_pdf,2026-08-03T03:51:57.333763+00:00
2026-08-02,Los Angeles Sparks,Alissa Pili,,,Out,OUT,Coach's Decision - Coach’s decision,Coach's Decision - Coach’s decision; matchup=(ET) LAS@PDX; game_time=03:30,,True,official_wnba_pdf,2026-08-03T03:51:57.333763+00:00
2026-08-02,Portland Fire,Sarah Ashlee Barker,,,Out,OUT,Injury/Illness - Left Knee; Injury,Injury/Illness - Left Knee; Injury; matchup=(ET) LAS@PDX; game_time=03:30,,True,official_wnba_pdf,2026-08-03T03:51:57.333763+00:00
2026-08-02,Portland Fire,Sania Feagin,,,Out,OUT,Injury/Illness - Left Knee; Injury,Injury/Illness - Left Knee; Injury; matchup=(ET) LAS@PDX; game_time=03:30,,True,official_wnba_pdf,2026-08-03T03:51:57.333763+00:00
2026-08-02,Portland Fire,Jordan Harrison,,,Out,OUT,Coach's Decision,Coach's Decision; matchup=(ET) LAS@PDX; game_time=03:30,,True,official_wnba_pdf,2026-08-03T03:51:57.333763+00:00
2026-08-02,Connecticut Sun,Aaliyah Edwards,,,Out,OUT,Injury/Illness - Right Knee; -,Injury/Illness - Right Knee; -; matchup=(ET) CON@DAL; game_time=07:00,,True,official_wnba_pdf,2026-08-03T03:51:57.333763+00:00
2026-08-02,Connecticut Sun,Brittney Griner,,,Out,OUT,Injury/Illness - Left Knee; -,Injury/Illness - Left Knee; -; matchup=(ET) CON@DAL; game_time=07:00,,True,official_wnba_pdf,2026-08-03T03:51:57.333763+00:00
2026-08-02,Connecticut Sun,Hailey Van Lith,,,Out,OUT,Coach's Decision,Coach's Decision; matchup=(ET) CON@DAL; game_time=07:00,,True,official_wnba_pdf,2026-08-03T03:51:57.333763+00:00
2026-08-02,Dallas Wings,Haley Jones,,,Out,OUT,Coach's Decision,Coach's Decision; matchup=(ET) CON@DAL; game_time=07:00,,True,official_wnba_pdf,2026-08-03T03:51:57.333763+00:00
2026-08-02,Dallas Wings,Costanza Verona,,,Out,OUT,Coach's Decision,Coach's Decision; matchup=(ET) CON@DAL; game_time=07:00,,True,official_wnba_pdf,2026-08-03T03:51:57.333763+00:00
2026-08-02,Toronto Tempo,Ornella Bankole,,,Out,OUT,Coach's Decision,Coach's Decision; matchup=(ET) TOR@GSV; game_time=08:30,,True,official_wnba_pdf,2026-08-03T03:51:57.333763+00:00
2026-08-02,Toronto Tempo,Marina Mabrey,,,Out,OUT,Injury/Illness - Neck; Injury,Injury/Illness - Neck; Injury; matchup=(ET) TOR@GSV; game_time=08:30,,True,official_wnba_pdf,2026-08-03T03:51:57.333763+00:00
2026-08-02,Toronto Tempo,Aneesah Morrow,,,Out,OUT,,; matchup=(ET) TOR@GSV; game_time=08:30,,True,official_wnba_pdf,2026-08-03T03:51:57.333763+00:00
2026-08-02,Toronto Tempo,Brittney Sykes,,,Out,OUT,Injury/Illness - Left Foot; Injury,Injury/Illness - Left Foot; Injury; matchup=(ET) TOR@GSV; game_time=08:30,,True,official_wnba_pdf,2026-08-03T03:51:57.333763+00:00
2026-08-02,Golden State Valkyries,Miela Sowah,,,Out,OUT,Coach's Decision,Coach's Decision; matchup=(ET) TOR@GSV; game_time=08:30,,True,official_wnba_pdf,2026-08-03T03:51:57.333763+00:00
2026-08-02,Las Vegas Aces,Cheyenne Parker-Tyus,,,Out,OUT,Not With Team,Not With Team; matchup=(ET) LVA@ATL; game_time=07:00,,True,official_wnba_pdf,2026-08-03T03:51:57.333763+00:00
2026-08-02,Atlanta Dream,Te-Hina Paopao,,,Out,OUT,Injury/Illness - Right Leg; N/A,Injury/Illness - Right Leg; N/A; matchup=(ET) LVA@ATL; game_time=07:00,,True,official_wnba_pdf,2026-08-03T03:51:57.333763+00:00
2026-08-02,Seattle Storm,Taina Mair,,,Out,OUT,Coach's Decision - Coach's Decision,Coach's Decision - Coach's Decision; matchup=SEA@NYL; game_time=07:00,,True,official_wnba_pdf,2026-08-03T03:51:57.333763+00:00
2026-08-02,New York Liberty,Leonie Fiebich,,,Out,OUT,Injury/Illness - Left Foot; L. Foot,Injury/Illness - Left Foot; L. Foot; matchup=SEA@NYL; game_time=07:00,,True,official_wnba_pdf,2026-08-03T03:51:57.333763+00:00
2026-08-02,New York Liberty,Satou Sabally,,,Out,OUT,Concussion Protocol,Concussion Protocol; matchup=SEA@NYL; game_time=07:00,,True,official_wnba_pdf,2026-08-03T03:51:57.333763+00:00
2026-08-02,Phoenix Mercury,Kelsey Plum,,,Questionable,QUESTIONABLE,,; matchup=(ET) PHX@CHI; game_time=09:00,,False,official_wnba_pdf,2026-08-03T03:51:57.333763+00:00
2026-08-02,Phoenix Mercury,Sami Whitcomb,,,Probable,PROBABLE,,; matchup=(ET) PHX@CHI; game_time=09:00,,False,official_wnba_pdf,2026-08-03T03:51:57.333763+00:00
2026-08-02,Chicago Sky,Skylar Diggins,,,Out,OUT,Injury/Illness - Right Knee; Right Knee,Injury/Illness - Right Knee; Right Knee; matchup=(ET) PHX@CHI; game_time=09:00,,True,official_wnba_pdf,2026-08-03T03:51:57.333763+00:00
2026-08-02,Chicago Sky,Azura Stevens,,,Out,OUT,Personal Reasons,Personal Reasons; matchup=(ET) PHX@CHI; game_time=09:00,,True,official_wnba_pdf,2026-08-03T03:51:57.333763+00:00
